Date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-07-20,99.76,99.83,99.57,99.57,53700,81.11791566,81.17483481,80.96342083,80.96342083,53700,0,1
2007-07-23,99.76,99.81,99.65,99.74,123700,81.11791566,81.15857219,81.02847128,81.10165305,123700,0,1
2007-07-24,99.94,99.94,99.82,99.84,8800,81.26427918,81.26427918,81.1667035,81.18296611,8800,0,1
2007-07-25,100.03,100.1,99.99,99.99,26400,81.33746094,81.39438009,81.30493571,81.30493571,26400,0,1
2007-07-26,100.7,100.8,100.45,100.45,53700,81.88225849,81.96357156,81.67897582,81.67897582,53700,0,1
2007-07-27,100.79,100.903,100.65,100.77,14400,81.95544025,82.04732401,81.84160196,81.93917764,14400,0,1
2007-07-30,100.58,100.87,100.58,100.83,9700,81.78468281,82.0204907,81.78468281,81.98796548,9700,0,1
2007-07-31,100.81,100.81,100.5,100.51,37300,81.97170286,81.97170286,81.71963235,81.72776366,37300,0,1
2007-08-01,100.25,100.5999,100.03,100.03,5500,81.81713729,82.10270155,81.63758846,81.63758846,5500,0.369913,1
2007-08-02,100.44,100.47,100.29,100.33,4700,81.97220219,81.99668612,81.84978253,81.88242778,4700,0,1
2007-08-03,100.85,100.85,100.52,100.52,13400,82.30681592,82.30681592,82.03749267,82.03749267,13400,0,1
2007-08-06,100.53,100.92,100.53,100.75,7500,82.04565399,82.36394509,82.04565399,82.22520282,7500,0,1
2007-08-07,100.39,100.67,100.39,100.63,12800,81.93139564,82.15991233,81.93139564,82.12726709,12800,0,1
2007-08-08,100.23,100.35,99.95,100.35,13100,81.80081467,81.8987504,81.57229798,81.8987504,13100,0,1
2007-08-09,100.66,100.67,100.48,100.65,116100,82.15175102,82.15991233,82.00484743,82.14358971,116100,0,1
2007-08-10,100.52,100.8,100.5,100.8,28900,82.03749267,82.26600937,82.02117005,82.26600937,28900,0,1
2007-08-13,100.7,100.72,100.48,100.5,4900,82.18439626,82.20071888,82.00484743,82.02117005,4900,0,1
2007-08-14,101.92,101.92,100.55,100.55,6100,83.18007614,83.18007614,82.06197661,82.06197661,6100,0,1
2007-08-15,101.14,101.27,100.96,101.1,18400,82.54349392,82.64959096,82.39659033,82.51084868,18400,0,1
2007-08-16,101.87,102.07,101.4,101.4,30100,83.13926959,83.3024958,82.75568799,82.75568799,30100,0,1
2007-08-17,101.58,101.72,101.38,101.38,82300,82.90259158,83.01684993,82.73936537,82.73936537,82300,0,1
2007-08-20,101.76,101.89,101.68,101.68,8400,83.04949517,83.15559221,82.98420469,82.98420469,8400,0,1
2007-08-21,102.05,102.15,101.82,102.15,30900,83.28617317,83.36778628,83.09846303,83.36778628,30900,0,1
2007-08-22,101.73,101.88,101.59,101.76,16300,83.02501124,83.1474309,82.91075289,83.04949517,16300,0,1
2007-08-23,101.6,101.79,101.5401,101.65,25600,82.9189142,83.0739791,82.87002795,82.95972076,25600,0,1
2007-08-24,101.53,101.7,101.3801,101.65,7600,82.86178503,83.00052731,82.73944699,82.95972076,7600,0,1
2007-08-27,101.71,101.71,101.46,101.63,11500,83.00868862,83.00868862,82.80465586,82.94339814,11500,0,1
2007-08-28,102.3,102.3,101.92,101.92,7400,83.49020594,83.49020594,83.18007614,83.18007614,7400,0,1
2007-08-29,101.95,102.41,101.95,102.34,51500,83.20456007,83.57998035,83.20456007,83.52285118,51500,0,1
2007-08-30,102.33,102.39,102.12,102.3,10700,83.51468987,83.56365773,83.34330235,83.49020594,10700,0,1
2007-08-31,102.3,102.32,101.88,102.05,13200,83.49020594,83.50652856,83.1474309,83.28617317,13200,0,1
2007-09-04,101.85,101.98,101.7401,101.98,8600,83.43224757,83.5387394,83.34222102,83.5387394,8600,0.378984,1
2007-09-05,102.35,102.35,102,102,25000,83.84183151,83.84183151,83.55512275,83.55512275,25000,0,1
2007-09-06,102.1,102.35,102.09,102.35,60200,83.63703954,83.84183151,83.62884786,83.84183151,60200,0,1
2007-09-07,102.78,102.89,102.45,102.45,26400,84.19407369,84.28418216,83.9237483,83.9237483,26400,0,1
2007-09-10,103,103.14,102.81,102.85,73100,84.37429062,84.48897413,84.21864873,84.25141544,73100,0,1
2007-09-11,102.74,102.99,102.74,102.93,6900,84.16130698,84.36609895,84.16130698,84.31694887,6900,0,1
2007-09-12,102.67,102.7799,102.55,102.7,16500,84.10396523,84.19399178,84.00566508,84.12854026,16500,0,1
2007-09-13,102.24,102.47,102.1,102.41,134400,83.75172304,83.94013165,83.63703954,83.89098158,134400,0,1
2007-09-14,102.34,102.6,102.19,102.6,8200,83.83363983,84.04662348,83.71076465,84.04662348,8200,0,1
2007-09-17,102.32,102.34,102.13,102.13,3300,83.81725647,83.83363983,83.66161458,83.66161458,3300,0,1
2007-09-18,102.45,102.45,102.1,102.13,6500,83.9237483,83.9237483,83.63703954,83.66161458,6500,0,1
2007-09-19,102.4,102.41,102.1401,102.41,211500,83.8827899,83.89098158,83.66988817,83.89098158,211500,0,1
2007-09-20,101.65,102.17,101.63,102.05,12900,83.268414,83.69438129,83.25203064,83.59608115,12900,0,1
2007-09-21,101.95,101.99,101.74,101.84,28000,83.51416436,83.54693108,83.34213911,83.42405589,28000,0,1
2007-09-24,102.04,102.05,101.81,101.93,19800,83.58788947,83.59608115,83.39948086,83.497781,19800,0,1
2007-09-25,102.171,102.37,102.12,102.36,13100,83.69520046,83.85821487,83.6534229,83.85002319,13100,0,1
2007-09-26,102.22,102.27,102.03,102.07,18800,83.73533969,83.77629808,83.57969779,83.6124645,18800,0,1
2007-09-27,102.45,102.46,102.26,102.26,6800,83.9237483,83.93193997,83.7681064,83.7681064,6800,0,1
2007-09-28,102.4,102.6,102.2701,102.38,24300,83.8827899,84.04662348,83.77638,83.86640654,24300,0,1
2007-10-01,102.09,102.22,101.92,102.1,46600,83.9252015,84.03207069,83.78544947,83.93342221,46600,0.361774,1
2007-10-02,102.24,102.29,101.9,101.98,12400,84.04851211,84.08961565,83.76900806,83.83477372,12400,0,1
2007-10-03,102.13,102.4,102.0399,102.4,6200,83.95808433,84.18004343,83.88401576,84.18004343,6200,0,1
2007-10-04,102.23,102.26,102.0901,102.14,9300,84.0402914,84.06495352,83.92528371,83.96630504,9300,0,1
2007-10-05,101.75,101.8448,101.65,101.8,8400,83.64569745,83.72362975,83.56349038,83.68680099,8400,0,1
2007-10-08,101.99,101.99,101.676,101.68,19600,83.84299443,83.84299443,83.58486421,83.5881525,19600,0,1
2007-10-09,101.61,101.79,101.61,101.77,37000,83.53060755,83.67858028,83.53060755,83.66213886,37000,0,1
2007-10-10,101.66,101.72,101.43,101.48,9000,83.57171108,83.62103533,83.38263481,83.42373835,9000,0,1
2007-10-11,101.71,101.721,101.39,101.48,45800,83.61281462,83.6218574,83.34975198,83.42373835,45800,0,1
